Code,Description
O91.219,"nonpurulent mastitis associated with pregnancy, unspecified trimester"
O91.22,nonpurulent mastitis associated with the puerperium
O91.23,nonpurulent mastitis associated with lactation
O92.011,"retracted nipple associated with pregnancy, first trimester"
O92.012,"retracted nipple associated with pregnancy, second trimester"
O92.013,"retracted nipple associated with pregnancy, third trimester"
O92.019,"retracted nipple associated with pregnancy, unspecified trimester"
O92.02,retracted nipple associated with the puerperium
O92.03,retracted nipple associated with lactation
O92.111,"cracked nipple associated with pregnancy, first trimester"
O92.112,"cracked nipple associated with pregnancy, second trimester"
O92.113,"cracked nipple associated with pregnancy, third trimester"
O92.119,"cracked nipple associated with pregnancy, unspecified trimester"
O92.12,cracked nipple associated with the puerperium
O92.13,cracked nipple associated with lactation
O92.20,unspecified disorder of breast associated with pregnancy and the puerperium
O92.29,other disorders of breast associated with pregnancy and the puerperium
O92.3,agalactia
O92.4,hypogalactia
O92.5,suppressed lactation
O92.6,galactorrhea
O92.70,unspecified disorders of lactation
O92.79,other disorders of lactation
O94,"sequelae of complication of pregnancy, childbirth, and the puerperium"
O98.011,"tuberculosis complicating pregnancy, first trimester"
O98.012,"tuberculosis complicating pregnancy, second trimester"
O98.013,"tuberculosis complicating pregnancy, third trimester"
O98.019,"tuberculosis complicating pregnancy, unspecified trimester"
O98.02,tuberculosis complicating childbirth
O98.03,tuberculosis complicating the puerperium
O98.111,"syphilis complicating pregnancy, first trimester"
O98.112,"syphilis complicating pregnancy, second trimester"
O98.113,"syphilis complicating pregnancy, third trimester"
O98.119,"syphilis complicating pregnancy, unspecified trimester"
O98.12,syphilis complicating childbirth
O98.13,syphilis complicating the puerperium
O98.211,"gonorrhea complicating pregnancy, first trimester"
O98.212,"gonorrhea complicating pregnancy, second trimester"
O98.213,"gonorrhea complicating pregnancy, third trimester"
O98.219,"gonorrhea complicating pregnancy, unspecified trimester"
O98.22,gonorrhea complicating childbirth
O98.23,gonorrhea complicating the puerperium
O98.311,"other infections with a predominantly sexual mode of transmission complicating pregnancy, first trimester"
O98.312,"other infections with a predominantly sexual mode of transmission complicating pregnancy, second trimester"
O98.313,"other infections with a predominantly sexual mode of transmission complicating pregnancy, third trimester"
O98.319,"other infections with a predominantly sexual mode of transmission complicating pregnancy, unspecified trimester"
O98.32,other infections with a predominantly sexual mode of transmission complicating childbirth
O98.33,other infections with a predominantly sexual mode of transmission complicating the puerperium
O98.411,"viral hepatitis complicating pregnancy, first trimester"
O98.412,"viral hepatitis complicating pregnancy, second trimester"
O98.413,"viral hepatitis complicating pregnancy, third trimester"
O98.419,"viral hepatitis complicating pregnancy, unspecified trimester"
O98.42,viral hepatitis complicating childbirth
O98.43,viral hepatitis complicating the puerperium
O98.511,"other viral diseases complicating pregnancy, first trimester"
O98.512,"other viral diseases complicating pregnancy, second trimester"
O98.513,"other viral diseases complicating pregnancy, third trimester"
O98.519,"other viral diseases complicating pregnancy, unspecified trimester"
O98.52,other viral diseases complicating childbirth
O98.53,other viral diseases complicating the puerperium
O98.611,"protozoal diseases complicating pregnancy, first trimester"
O98.612,"protozoal diseases complicating pregnancy, second trimester"
O98.613,"protozoal diseases complicating pregnancy, third trimester"
O98.619,"protozoal diseases complicating pregnancy, unspecified trimester"
O98.62,protozoal diseases complicating childbirth
O98.63,protozoal diseases complicating the puerperium
O98.711,"human immunodeficiency virus [hiv] disease complicating pregnancy, first trimester"
O98.712,"human immunodeficiency virus [hiv] disease complicating pregnancy, second trimester"
O98.713,"human immunodeficiency virus [hiv] disease complicating pregnancy, third trimester"
O98.719,"human immunodeficiency virus [hiv] disease complicating pregnancy, unspecified trimester"
O98.72,human immunodeficiency virus [hiv] disease complicating childbirth
O98.73,human immunodeficiency virus [hiv] disease complicating the puerperium
O98.811,"other maternal infectious and parasitic diseases complicating pregnancy, first trimester"
O98.812,"other maternal infectious and parasitic diseases complicating pregnancy, second trimester"
O98.813,"other maternal infectious and parasitic diseases complicating pregnancy, third trimester"
O98.819,"other maternal infectious and parasitic diseases complicating pregnancy, unspecified trimester"
O98.82,other maternal infectious and parasitic diseases complicating childbirth
O98.83,other maternal infectious and parasitic diseases complicating the puerperium
O98.911,"unspecified maternal infectious and parasitic disease complicating pregnancy, first trimester"
O98.912,"unspecified maternal infectious and parasitic disease complicating pregnancy, second trimester"
O98.913,"unspecified maternal infectious and parasitic disease complicating pregnancy, third trimester"
O98.919,"unspecified maternal infectious and parasitic disease complicating pregnancy, unspecified trimester"
O98.92,unspecified maternal infectious and parasitic disease complicating childbirth
O98.93,unspecified maternal infectious and parasitic disease complicating the puerperium
O99.011,"anemia complicating pregnancy, first trimester"
O99.012,"anemia complicating pregnancy, second trimester"
O99.013,"anemia complicating pregnancy, third trimester"
O99.019,"anemia complicating pregnancy, unspecified trimester"
O99.02,anemia complicating childbirth
O99.03,anemia complicating the puerperium
O99.111,"other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating pregnancy, first trimester"
O99.112,"other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating pregnancy, second trimester"
O99.113,"other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating pregnancy, third trimester"
O99.119,"other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating pregnancy, unspecified trimester"
O99.12,other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating childbirth
O99.13,other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating the puerperium
O99.210,"obesity complicating pregnancy, unspecified trimester"
O99.211,"obesity complicating pregnancy, first trimester"
O99.212,"obesity complicating pregnancy, second trimester"
O99.213,"obesity complicating pregnancy, third trimester"
O99.214,obesity complicating childbirth
O99.215,obesity complicating the puerperium
O99.280,"endocrine, nutritional and metabolic diseases complicating pregnancy, unspecified trimester"
O99.281,"endocrine, nutritional and metabolic diseases complicating pregnancy, first trimester"
O99.282,"endocrine, nutritional and metabolic diseases complicating pregnancy, second trimester"
O99.283,"endocrine, nutritional and metabolic diseases complicating pregnancy, third trimester"
O99.284,"endocrine, nutritional and metabolic diseases complicating childbirth"
O99.285,"endocrine, nutritional and metabolic diseases complicating the puerperium"
O99.310,"alcohol use complicating pregnancy, unspecified trimester"
O99.311,"alcohol use complicating pregnancy, first trimester"
O99.312,"alcohol use complicating pregnancy, second trimester"
O99.313,"alcohol use complicating pregnancy, third trimester"
O99.314,alcohol use complicating childbirth
O99.315,alcohol use complicating the puerperium
O99.320,"drug use complicating pregnancy, unspecified trimester"
O99.321,"drug use complicating pregnancy, first trimester"
O99.322,"drug use complicating pregnancy, second trimester"
O99.323,"drug use complicating pregnancy, third trimester"
O99.324,drug use complicating childbirth
O99.325,drug use complicating the puerperium
O99.330,"smoking (tobacco) complicating pregnancy, unspecified trimester"
O99.331,"smoking (tobacco) complicating pregnancy, first trimester"
O99.332,"smoking (tobacco) complicating pregnancy, second trimester"
O99.333,"smoking (tobacco) complicating pregnancy, third trimester"
O99.334,smoking (tobacco) complicating childbirth
O99.335,smoking (tobacco) complicating the puerperium
O99.340,"other mental disorders complicating pregnancy, unspecified trimester"
O99.341,"other mental disorders complicating pregnancy, first trimester"
O99.342,"other mental disorders complicating pregnancy, second trimester"
O99.343,"other mental disorders complicating pregnancy, third trimester"
O99.344,other mental disorders complicating childbirth
O99.345,other mental disorders complicating the puerperium
O99.350,"diseases of the nervous system complicating pregnancy, unspecified trimester"
O99.351,"diseases of the nervous system complicating pregnancy, first trimester"
O99.352,"diseases of the nervous system complicating pregnancy, second trimester"
O99.353,"diseases of the nervous system complicating pregnancy, third trimester"
O99.354,diseases of the nervous system complicating childbirth
O99.355,diseases of the nervous system complicating the puerperium
O99.411,"diseases of the circulatory system complicating pregnancy, first trimester"
O99.412,"diseases of the circulatory system complicating pregnancy, second trimester"
O99.413,"diseases of the circulatory system complicating pregnancy, third trimester"
O99.419,"diseases of the circulatory system complicating pregnancy, unspecified trimester"
O99.42,diseases of the circulatory system complicating childbirth
O99.43,diseases of the circulatory system complicating the puerperium
O99.511,"diseases of the respiratory system complicating pregnancy, first trimester"
O99.512,"diseases of the respiratory system complicating pregnancy, second trimester"
O99.513,"diseases of the respiratory system complicating pregnancy, third trimester"
O99.519,"diseases of the respiratory system complicating pregnancy, unspecified trimester"
O99.52,diseases of the respiratory system complicating childbirth
O99.53,diseases of the respiratory system complicating the puerperium
O99.611,"diseases of the digestive system complicating pregnancy, first trimester"
O99.612,"diseases of the digestive system complicating pregnancy, second trimester"
O99.613,"diseases of the digestive system complicating pregnancy, third trimester"
O99.619,"diseases of the digestive system complicating pregnancy, unspecified trimester"
O99.62,diseases of the digestive system complicating childbirth
O99.63,diseases of the digestive system complicating the puerperium
O99.711,"diseases of the skin and subcutaneous tissue complicating pregnancy, first trimester"
O99.712,"diseases of the skin and subcutaneous tissue complicating pregnancy, second trimester"
O99.713,"diseases of the skin and subcutaneous tissue complicating pregnancy, third trimester"
O99.719,"diseases of the skin and subcutaneous tissue complicating pregnancy, unspecified trimester"
O99.72,diseases of the skin and subcutaneous tissue complicating childbirth
O99.73,diseases of the skin and subcutaneous tissue complicating the puerperium
O99.810,abnormal glucose complicating pregnancy
O99.814,abnormal glucose complicating childbirth
O99.815,abnormal glucose complicating the puerperium
O99.820,streptococcus b carrier state complicating pregnancy
O99.824,streptococcus b carrier state complicating childbirth
O99.825,streptococcus b carrier state complicating the puerperium
O99.830,other infection carrier state complicating pregnancy
O99.834,other infection carrier state complicating childbirth
O99.835,other infection carrier state complicating the puerperium
O99.840,"bariatric surgery status complicating pregnancy, unspecified trimester"
O99.841,"bariatric surgery status complicating pregnancy, first trimester"
O99.842,"bariatric surgery status complicating pregnancy, second trimester"
O99.843,"bariatric surgery status complicating pregnancy, third trimester"
O99.844,bariatric surgery status complicating childbirth
O99.845,bariatric surgery status complicating the puerperium
O99.891,other specified diseases and conditions complicating pregnancy
O99.892,other specified diseases and conditions complicating childbirth
O99.893,other specified diseases and conditions complicating puerperium
O9A.111,"malignant neoplasm complicating pregnancy, first trimester"
O9A.112,"malignant neoplasm complicating pregnancy, second trimester"
O9A.113,"malignant neoplasm complicating pregnancy, third trimester"
O9A.119,"malignant neoplasm complicating pregnancy, unspecified trimester"
O9A.12,malignant neoplasm complicating childbirth
O9A.13,malignant neoplasm complicating the puerperium
O9A.211,"injury, poisoning and certain other consequences of external causes complicating pregnancy, first trimester"
O9A.212,"injury, poisoning and certain other consequences of external causes complicating pregnancy, second trimester"
O9A.213,"injury, poisoning and certain other consequences of external causes complicating pregnancy, third trimester"
O9A.219,"injury, poisoning and certain other consequences of external causes complicating pregnancy, unspecified trimester"
O9A.22,"injury, poisoning and certain other consequences of external causes complicating childbirth"
O9A.23,"injury, poisoning and certain other consequences of external causes complicating the puerperium"
O9A.311,"physical abuse complicating pregnancy, first trimester"
O9A.312,"physical abuse complicating pregnancy, second trimester"
O9A.313,"physical abuse complicating pregnancy, third trimester"
O9A.319,"physical abuse complicating pregnancy, unspecified trimester"
O9A.32,physical abuse complicating childbirth
O9A.33,physical abuse complicating the puerperium
O9A.411,"sexual abuse complicating pregnancy, first trimester"
O9A.412,"sexual abuse complicating pregnancy, second trimester"
O9A.413,"sexual abuse complicating pregnancy, third trimester"
O9A.419,"sexual abuse complicating pregnancy, unspecified trimester"
O9A.42,sexual abuse complicating childbirth
O9A.43,sexual abuse complicating the puerperium
O9A.511,"psychological abuse complicating pregnancy, first trimester"
O9A.512,"psychological abuse complicating pregnancy, second trimester"
O9A.513,"psychological abuse complicating pregnancy, third trimester"
O9A.519,"psychological abuse complicating pregnancy, unspecified trimester"
O9A.52,psychological abuse complicating childbirth
O9A.53,psychological abuse complicating the puerperium
P00.0,newborn affected by maternal hypertensive disorders
P00.1,newborn affected by maternal renal and urinary tract diseases
P00.2,newborn affected by maternal infectious and parasitic diseases
P00.3,newborn affected by other maternal circulatory and respiratory diseases
P00.4,newborn affected by maternal nutritional disorders
P00.5,newborn affected by maternal injury
P00.6,newborn affected by surgical procedure on mother
P00.7,"newborn affected by other medical procedures on mother, not elsewhere classified"
P00.81,newborn affected by periodontal disease in mother
P00.82,newborn affected by (positive) maternal group b streptococcus (gbs) colonization
P00.89,newborn affected by other maternal conditions
P00.9,newborn affected by unspecified maternal condition
P01.0,newborn affected by incompetent cervix
P01.1,newborn affected by premature rupture of membranes
P01.2,newborn affected by oligohydramnios
P01.3,newborn affected by polyhydramnios
P01.4,newborn affected by ectopic pregnancy
P01.5,newborn affected by multiple pregnancy
P01.6,newborn affected by maternal death
P01.7,newborn affected by malpresentation before labor
P01.8,newborn affected by other maternal complications of pregnancy
P01.9,"newborn affected by maternal complication of pregnancy, unspecified"
P02.0,newborn affected by placenta previa
P02.1,newborn affected by other forms of placental separation and hemorrhage
P02.20,newborn affected by unspecified morphological and functional abnormalities of placenta
P02.29,newborn affected by other morphological and functional abnormalities of placenta
P02.3,newborn affected by placental transfusion syndromes
P02.4,newborn affected by prolapsed cord
P02.5,newborn affected by other compression of umbilical cord
P02.60,newborn affected by unspecified conditions of umbilical cord
P02.69,newborn affected by other conditions of umbilical cord
P02.70,newborn affected by fetal inflammatory response syndrome
P02.78,newborn affected by other conditions from chorioamnionitis
P02.8,newborn affected by other abnormalities of membranes
P02.9,"newborn affected by abnormality of membranes, unspecified"
P03.0,newborn affected by breech delivery and extraction
P03.1,"newborn affected by other malpresentation, malposition and disproportion during labor and delivery"
P03.2,newborn affected by forceps delivery
P03.3,newborn affected by delivery by vacuum extractor [ventouse]
P03.4,newborn affected by cesarean delivery
P03.5,newborn affected by precipitate delivery
P03.6,newborn affected by abnormal uterine contractions
P03.810,newborn affected by abnormality in fetal (intrauterine) heart rate or rhythm before the onset of labor
P03.811,newborn affected by abnormality in fetal (intrauterine) heart rate or rhythm during labor
P03.819,"newborn affected by abnormality in fetal (intrauterine) heart rate or rhythm, unspecified as to time of onset"
P03.82,meconium passage during delivery
P03.89,newborn affected by other specified complications of labor and delivery
P03.9,"newborn affected by complication of labor and delivery, unspecified"
P04.0,"newborn affected by maternal anesthesia and analgesia in pregnancy, labor and delivery"
P04.11,newborn affected by maternal antineoplastic chemotherapy
P04.12,newborn affected by maternal cytotoxic drugs
P04.13,newborn affected by maternal use of anticonvulsants
P04.14,newborn affected by maternal use of opiates
P04.15,newborn affected by maternal use of antidepressants
P04.16,newborn affected by maternal use of amphetamines
P04.17,newborn affected by maternal use of sedative-hypnotics
P04.1A,newborn affected by maternal use of anxiolytics
P04.18,newborn affected by other maternal medication
P04.19,newborn affected by maternal use of unspecified medication
P04.2,newborn affected by maternal use of tobacco
P04.3,newborn affected by maternal use of alcohol
P04.40,newborn affected by maternal use of unspecified drugs of addiction
P04.41,newborn affected by maternal use of cocaine
P04.42,newborn affected by maternal use of hallucinogens
P04.49,newborn affected by maternal use of other drugs of addiction
P04.5,newborn affected by maternal use of nutritional chemical substances
P04.6,newborn affected by maternal exposure to environmental chemical substances
P04.81,newborn affected by maternal use of cannabis
P04.89,newborn affected by other maternal noxious substances
P04.9,"newborn affected by maternal noxious substance, unspecified"
P05.00,"newborn light for gestational age, unspecified weight"
P05.01,"newborn light for gestational age, less than 500 grams"
P05.02,"newborn light for gestational age, 500-749 grams"
P05.03,"newborn light for gestational age, 750-999 grams"
P05.04,"newborn light for gestational age, 1000-1249 grams"
P05.05,"newborn light for gestational age, 1250-1499 grams"
P05.06,"newborn light for gestational age, 1500-1749 grams"
P05.07,"newborn light for gestational age, 1750-1999 grams"
P05.08,"newborn light for gestational age, 2000-2499 grams"
P05.09,"newborn light for gestational age, 2500 grams and over"
P05.10,"newborn small for gestational age, unspecified weight"
P05.11,"newborn small for gestational age, less than 500 grams"
P05.12,"newborn small for gestational age, 500-749 grams"
P05.13,"newborn small for gestational age, 750-999 grams"
P05.14,"newborn small for gestational age, 1000-1249 grams"
P05.15,"newborn small for gestational age, 1250-1499 grams"
P05.16,"newborn small for gestational age, 1500-1749 grams"
P05.17,"newborn small for gestational age, 1750-1999 grams"
P05.18,"newborn small for gestational age, 2000-2499 grams"
P05.19,"newborn small for gestational age, other"
P05.2,newborn affected by fetal (intrauterine) malnutrition not light or small for gestational age
P05.9,"newborn affected by slow intrauterine growth, unspecified"
P07.00,"extremely low birth weight newborn, unspecified weight"
P07.01,"extremely low birth weight newborn, less than 500 grams"
P07.02,"extremely low birth weight newborn, 500-749 grams"
P07.03,"extremely low birth weight newborn, 750-999 grams"
P07.10,"other low birth weight newborn, unspecified weight"
P07.14,"other low birth weight newborn, 1000-1249 grams"
P07.15,"other low birth weight newborn, 1250-1499 grams"
P07.16,"other low birth weight newborn, 1500-1749 grams"
P07.17,"other low birth weight newborn, 1750-1999 grams"
P07.18,"other low birth weight newborn, 2000-2499 grams"
P07.20,"extreme immaturity of newborn, unspecified weeks of gestation"
P07.21,"extreme immaturity of newborn, gestational age less than 23 completed weeks"
P07.22,"extreme immaturity of newborn, gestational age 23 completed weeks"
P07.23,"extreme immaturity of newborn, gestational age 24 completed weeks"
P07.24,"extreme immaturity of newborn, gestational age 25 completed weeks"
P07.25,"extreme immaturity of newborn, gestational age 26 completed weeks"
P07.26,"extreme immaturity of newborn, gestational age 27 completed weeks"
P07.30,"preterm newborn, unspecified weeks of gestation"
P07.31,"preterm newborn, gestational age 28 completed weeks"
P07.32,"preterm newborn, gestational age 29 completed weeks"
P07.33,"preterm newborn, gestational age 30 completed weeks"
P07.34,"preterm newborn, gestational age 31 completed weeks"
P07.35,"preterm newborn, gestational age 32 completed weeks"
P07.36,"preterm newborn, gestational age 33 completed weeks"
P07.37,"preterm newborn, gestational age 34 completed weeks"
P07.38,"preterm newborn, gestational age 35 completed weeks"
P07.39,"preterm newborn, gestational age 36 completed weeks"
P08.0,exceptionally large newborn baby
P08.1,other heavy for gestational age newborn
P08.21,post-term newborn
P08.22,prolonged gestation of newborn
P09.1,abnormal findings on neonatal screening for inborn errors of metabolism
P09.2,abnormal findings on neonatal screening for congenital endocrine disease
P09.3,abnormal findings on neonatal screening for congenital hematologic disorders
P09.4,abnormal findings on neonatal screening for cystic fibrosis
P09.5,abnormal findings on neonatal screening for critical congenital heart disease
P09.6,abnormal findings on neonatal screening for neonatal hearing loss
P09.8,other abnormal findings on neonatal screening
P09.9,"abnormal findings on neonatal screening, unspecified"
P10.0,subdural hemorrhage due to birth injury
P10.1,cerebral hemorrhage due to birth injury
P10.2,intraventricular hemorrhage due to birth injury
P10.3,subarachnoid hemorrhage due to birth injury
P10.4,tentorial tear due to birth injury
P10.8,other intracranial lacerations and hemorrhages due to birth injury
P10.9,unspecified intracranial laceration and hemorrhage due to birth injury
P11.0,cerebral edema due to birth injury
P11.1,other specified brain damage due to birth injury
P11.2,unspecified brain damage due to birth injury
P11.3,birth injury to facial nerve
P11.4,birth injury to other cranial nerves
P11.5,birth injury to spine and spinal cord
P11.9,"birth injury to central nervous system, unspecified"
P12.0,cephalhematoma due to birth injury
P12.1,chignon (from vacuum extraction) due to birth injury
P12.2,epicranial subaponeurotic hemorrhage due to birth injury
P12.3,bruising of scalp due to birth injury
P12.4,injury of scalp of newborn due to monitoring equipment
P12.81,caput succedaneum
P12.89,other birth injuries to scalp
P12.9,"birth injury to scalp, unspecified"
P13.0,fracture of skull due to birth injury
P13.1,other birth injuries to skull
P13.2,birth injury to femur
P13.3,birth injury to other long bones
P13.4,fracture of clavicle due to birth injury
P13.8,birth injuries to other parts of skeleton
P13.9,"birth injury to skeleton, unspecified"
P14.0,erb's paralysis due to birth injury
P14.1,klumpke's paralysis due to birth injury
P14.2,phrenic nerve paralysis due to birth injury
P14.3,other brachial plexus birth injuries
P14.8,birth injuries to other parts of peripheral nervous system
P14.9,"birth injury to peripheral nervous system, unspecified"
P15.0,birth injury to liver
P15.1,birth injury to spleen
P15.2,sternomastoid injury due to birth injury
P15.3,birth injury to eye
P15.4,birth injury to face
P15.5,birth injury to external genitalia
P15.6,subcutaneous fat necrosis due to birth injury
P15.8,other specified birth injuries
P15.9,"birth injury, unspecified"
P19.0,metabolic acidemia in newborn first noted before onset of labor
P19.1,metabolic acidemia in newborn first noted during labor
P19.2,metabolic acidemia noted at birth
P19.9,"metabolic acidemia in newborn, unspecified"
P22.0,respiratory distress syndrome of newborn
P22.1,transient tachypnea of newborn
P22.8,other respiratory distress of newborn
P22.9,"respiratory distress of newborn, unspecified"
P23.0,congenital pneumonia due to viral agent
P23.1,congenital pneumonia due to chlamydia
P23.2,congenital pneumonia due to staphylococcus
P23.3,"congenital pneumonia due to streptococcus, group b"
P23.4,congenital pneumonia due to escherichia coli
P23.5,congenital pneumonia due to pseudomonas
P23.6,congenital pneumonia due to other bacterial agents
P23.8,congenital pneumonia due to other organisms
P23.9,"congenital pneumonia, unspecified"
P24.00,meconium aspiration without respiratory symptoms
P24.01,meconium aspiration with respiratory symptoms
P24.10,neonatal aspiration of (clear) amniotic fluid and mucus without respiratory symptoms
P24.11,neonatal aspiration of (clear) amniotic fluid and mucus with respiratory symptoms
P24.20,neonatal aspiration of blood without respiratory symptoms
P24.21,neonatal aspiration of blood with respiratory symptoms
P24.30,neonatal aspiration of milk and regurgitated food without respiratory symptoms
P24.31,neonatal aspiration of milk and regurgitated food with respiratory symptoms
P24.80,other neonatal aspiration without respiratory symptoms
P24.81,other neonatal aspiration with respiratory symptoms
P24.9,"neonatal aspiration, unspecified"
P25.0,interstitial emphysema originating in the perinatal period
P25.1,pneumothorax originating in the perinatal period
P25.2,pneumomediastinum originating in the perinatal period
P25.3,pneumopericardium originating in the perinatal period
P25.8,other conditions related to interstitial emphysema originating in the perinatal period
P26.0,tracheobronchial hemorrhage originating in the perinatal period
P26.1,massive pulmonary hemorrhage originating in the perinatal period
P26.8,other pulmonary hemorrhages originating in the perinatal period
P26.9,unspecified pulmonary hemorrhage originating in the perinatal period
P27.0,wilson-mikity syndrome
P27.1,bronchopulmonary dysplasia originating in the perinatal period
P27.8,other chronic respiratory diseases originating in the perinatal period
P27.9,unspecified chronic respiratory disease originating in the perinatal period
P28.0,primary atelectasis of newborn
P28.10,unspecified atelectasis of newborn
P28.11,resorption atelectasis without respiratory distress syndrome
P28.19,other atelectasis of newborn
P28.2,cyanotic attacks of newborn
P28.30,"primary sleep apnea of newborn, unspecified"
P28.31,primary central sleep apnea of newborn
P28.32,primary obstructive sleep apnea of newborn
P28.33,primary mixed sleep apnea of newborn
P28.39,other primary sleep apnea of newborn
P28.40,unspecified apnea of newborn
P28.41,central neonatal apnea of newborn
P28.42,obstructive apnea of newborn
P28.43,mixed neonatal apnea of newborn
P28.49,other apnea of newborn
P28.5,respiratory failure of newborn
P28.81,respiratory arrest of newborn
P28.89,other specified respiratory conditions of newborn
P28.9,"respiratory condition of newborn, unspecified"
P29.0,neonatal cardiac failure
P29.11,neonatal tachycardia
P29.12,neonatal bradycardia
P29.2,neonatal hypertension
P29.30,pulmonary hypertension of newborn
P29.38,other persistent fetal circulation
P29.4,transient myocardial ischemia in newborn
P29.81,cardiac arrest of newborn
P29.89,other cardiovascular disorders originating in the perinatal period
P29.9,"cardiovascular disorder originating in the perinatal period, unspecified"
P35.0,congenital rubella syndrome
P35.1,congenital cytomegalovirus infection
P35.2,congenital herpesviral [herpes simplex] infection
P35.3,congenital viral hepatitis
P35.4,congenital zika virus disease
P35.8,other congenital viral diseases
P35.9,"congenital viral disease, unspecified"
P36.0,"sepsis of newborn due to streptococcus, group b"
P36.10,sepsis of newborn due to unspecified streptococci
P36.19,sepsis of newborn due to other streptococci
P36.2,sepsis of newborn due to staphylococcus aureus
P36.30,sepsis of newborn due to unspecified staphylococci
P36.39,sepsis of newborn due to other staphylococci
P36.4,sepsis of newborn due to escherichia coli
P36.5,sepsis of newborn due to anaerobes
P36.8,other bacterial sepsis of newborn
P36.9,"bacterial sepsis of newborn, unspecified"
P37.0,congenital tuberculosis
P37.1,congenital toxoplasmosis
P37.2,neonatal (disseminated) listeriosis
P37.3,congenital falciparum malaria
P37.4,other congenital malaria
P37.5,neonatal candidiasis
P37.8,other specified congenital infectious and parasitic diseases
P37.9,"congenital infectious or parasitic disease, unspecified"
P38.1,omphalitis with mild hemorrhage
P38.9,omphalitis without hemorrhage
P39.0,neonatal infective mastitis
P39.1,neonatal conjunctivitis and dacryocystitis
P39.2,"intra-amniotic infection affecting newborn, not elsewhere classified"
P39.3,neonatal urinary tract infection
P39.4,neonatal skin infection
P39.8,other specified infections specific to the perinatal period
P39.9,"infection specific to the perinatal period, unspecified"
P50.0,newborn affected by intrauterine (fetal) blood loss from vasa previa
P50.1,newborn affected by intrauterine (fetal) blood loss from ruptured cord
P50.2,newborn affected by intrauterine (fetal) blood loss from placenta
P50.3,newborn affected by hemorrhage into co-twin
P50.4,newborn affected by hemorrhage into maternal circulation
P50.5,newborn affected by intrauterine (fetal) blood loss from cut end of co-twin's cord
P50.8,newborn affected by other intrauterine (fetal) blood loss
P50.9,"newborn affected by intrauterine (fetal) blood loss, unspecified"
P51.0,massive umbilical hemorrhage of newborn
P51.8,other umbilical hemorrhages of newborn
P51.9,"umbilical hemorrhage of newborn, unspecified"
P52.0,"intraventricular (nontraumatic) hemorrhage, grade 1, of newborn"
P52.1,"intraventricular (nontraumatic) hemorrhage, grade 2, of newborn"
P52.21,"intraventricular (nontraumatic) hemorrhage, grade 3, of newborn"
P52.22,"intraventricular (nontraumatic) hemorrhage, grade 4, of newborn"
P52.3,unspecified intraventricular (nontraumatic) hemorrhage of newborn
P52.4,intracerebral (nontraumatic) hemorrhage of newborn
P52.5,subarachnoid (nontraumatic) hemorrhage of newborn
P52.6,cerebellar (nontraumatic) and posterior fossa hemorrhage of newborn
P52.8,other intracranial (nontraumatic) hemorrhages of newborn
P52.9,"intracranial (nontraumatic) hemorrhage of newborn, unspecified"
P53,hemorrhagic disease of newborn
P54.0,neonatal hematemesis
P54.1,neonatal melena
P54.2,neonatal rectal hemorrhage
P54.3,other neonatal gastrointestinal hemorrhage
P54.4,neonatal adrenal hemorrhage
P54.5,neonatal cutaneous hemorrhage
P54.6,neonatal vaginal hemorrhage
P54.8,other specified neonatal hemorrhages
P54.9,"neonatal hemorrhage, unspecified"
P55.0,rh isoimmunization of newborn
P55.1,abo isoimmunization of newborn
P55.8,other hemolytic diseases of newborn
P55.9,"hemolytic disease of newborn, unspecified"
P56.0,hydrops fetalis due to isoimmunization
P56.90,hydrops fetalis due to unspecified hemolytic disease
P56.99,hydrops fetalis due to other hemolytic disease
P57.0,kernicterus due to isoimmunization
P57.8,other specified kernicterus
P57.9,"kernicterus, unspecified"
P58.0,neonatal jaundice due to bruising
P58.1,neonatal jaundice due to bleeding
P58.2,neonatal jaundice due to infection
P58.3,neonatal jaundice due to polycythemia
P58.41,neonatal jaundice due to drugs or toxins transmitted from mother
P58.42,neonatal jaundice due to drugs or toxins given to newborn
P58.5,neonatal jaundice due to swallowed maternal blood
P58.8,neonatal jaundice due to other specified excessive hemolysis
P58.9,"neonatal jaundice due to excessive hemolysis, unspecified"
P59.0,neonatal jaundice associated with preterm delivery
P59.1,inspissated bile syndrome
P59.20,neonatal jaundice from unspecified hepatocellular damage
P59.29,neonatal jaundice from other hepatocellular damage
P59.3,neonatal jaundice from breast milk inhibitor
P59.8,neonatal jaundice from other specified causes
P59.9,"neonatal jaundice, unspecified"
P60,disseminated intravascular coagulation of newborn
P61.0,transient neonatal thrombocytopenia
P61.1,polycythemia neonatorum
P61.2,anemia of prematurity
P61.3,congenital anemia from fetal blood loss
P61.4,"other congenital anemias, not elsewhere classified"
P61.5,transient neonatal neutropenia
P61.6,other transient neonatal disorders of coagulation
P61.8,other specified perinatal hematological disorders
P61.9,"perinatal hematological disorder, unspecified"
P70.0,syndrome of infant of mother with gestational diabetes
P70.1,syndrome of infant of a diabetic mother
P70.2,neonatal diabetes mellitus
